EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAEXJOE, SWEDEN (STAID: 1)
Blended and updated with sources:41384 41387 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
     1, 41384,19610101,    8,    0
     1, 41384,19610102,    8,    0
     1, 41384,19610103,    8,    0
     1, 41384,19610104,    8,    0
     1, 41384,19610105,    8,    0
     1, 41384,19610106,    8,    0
     1, 41384,19610107,    8,    0
     1, 41384,19610108,    8,    0
     1, 41384,19610109,    8,    0
     1, 41384,19610110,    8,    0
     1, 41384,19610111,    7,    0
     1, 41384,19610112,    1,    0
     1, 41384,19610113,    8,    0
     1, 41384,19610114,    3,    0
     1, 41384,19610115,    8,    0
     1, 41384,19610116,    2,    0
     1, 41384,19610117,    0,    0
     1, 41384,19610118,    3,    0
     1, 41384,19610119,    0,    0
     1, 41384,19610120,    0,    0
     1, 41384,19610121,    3,    0
     1, 41384,19610122,    8,    0
     1, 41384,19610123,    8,    0
     1, 41384,19610124,    4,    0
     1, 41384,19610125,    0,    0
     1, 41384,19610126,    2,    0
     1, 41384,19610127,    3,    0
     1, 41384,19610128,    8,    0
     1, 41384,19610129,    8,    0
     1, 41384,19610130,    8,    0
     1, 41384,19610131,    8,    0
     1, 41384,19610201,    8,    0
     1, 41384,19610202,    8,    0
     1, 41384,19610203,    8,    0
     1, 41384,19610204,    5,    0
     1, 41384,19610205,    2,    0
     1, 41384,19610206,    8,    0
     1, 41384,19610207,    8,    0
     1, 41384,19610208,    5,    0
     1, 41384,19610209,    8,    0
     1, 41384,19610210,    7,    0
     1, 41384,19610211,    8,    0
     1, 41384,19610212,    8,    0
     1, 41384,19610213,    8,    0
     1, 41384,19610214,    8,    0
     1, 41384,19610215,    8,    0
     1, 41384,19610216,    8,    0
     1, 41384,19610217,    8,    0
     1, 41384,19610218,    3,    0
     1, 41384,19610219,    7,    0
     1, 41384,19610220,    5,    0
     1, 41384,19610221,    8,    0
     1, 41384,19610222,    8,    0
     1, 41384,19610223,    8,    0
     1, 41384,19610224,    8,    0
     1, 41384,19610225,    7,    0
     1, 41384,19610226,    8,    0
     1, 41384,19610227,    7,    0
     1, 41384,19610228,    8,    0
     1, 41384,19610301,    1,    0
     1, 41384,19610302,    5,    0
     1, 41384,19610303,    6,    0
     1, 41384,19610304,    7,    0
     1, 41384,19610305,    6,    0
     1, 41384,19610306,    5,    0
     1, 41384,19610307,    4,    0
     1, 41384,19610308,    5,    0
     1, 41384,19610309,    7,    0
     1, 41384,19610310,    3,    0
     1, 41384,19610311,    6,    0
     1, 41384,19610312,    8,    0
     1, 41384,19610313,    2,    0
     1, 41384,19610314,    8,    0
     1, 41384,19610315,    1,    0
     1, 41384,19610316,    1,    0
     1, 41384,19610317,    7,    0
     1, 41384,19610318,    7,    0
     1, 41384,19610319,    1,    0
     1, 41384,19610320,    7,    0
     1, 41384,19610321,    7,    0
     1, 41384,19610322,    8,    0
     1, 41384,19610323,    7,    0
     1, 41384,19610324,    7,    0
     1, 41384,19610325,    7,    0
     1, 41384,19610326,    8,    0
     1, 41384,19610327,    3,    0
     1, 41384,19610328,    5,    0
     1, 41384,19610329,    8,    0
     1, 41384,19610330,    8,    0
     1, 41384,19610331,    5,    0
     1, 41384,19610401,    6,    0
     1, 41384,19610402,    4,    0
     1, 41384,19610403,    6,    0
     1, 41384,19610404,    5,    0
     1, 41384,19610405,    6,    0
     1, 41384,19610406,    7,    0
     1, 41384,19610407,    8,    0
     1, 41384,19610408,    3,    0
     1, 41384,19610409,    1,    0
     1, 41384,19610410,    3,    0
     1, 41384,19610411,    6,    0
     1, 41384,19610412,    7,    0
     1, 41384,19610413,    7,    0
     1, 41384,19610414,    7,    0
     1, 41384,19610415,    5,    0
